ID,Bear Number,Tick Species ,Tick Sex,Pooled Ticks,Engorgment,POW,Lyme,Test Run,Tick Collection Year,County ,State
28,41,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/20/18,2017,Warren,NJ
29,41,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/20/18,2017,Warren,NJ
30,296,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,6/20/18,2017,Warren,NJ
31,9273,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
32,9273,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/27/18,2018,Warren,NJ
33,9273,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
34,10202,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/27/17,2018,Warren,NJ
35,10202,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/27/18,2018,Warren,NJ
36,10202,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
37,10202,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
38,10202,Ixodes scapularis,Male,2,Unengorged,Negative ,Positive,6/27/18,2018,Warren,NJ
39,9473,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,6/27/18,2018,Warren,NJ
40,9473,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
41,9473,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
42,9194,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
43,9194,Ixodes scapularis,Nymph,1,Fully engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
44,10041,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
45,10041,Ixodes scapularis,Nymph,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
46,10041,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
47,6573,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/27/18,2018,Warren,NJ
48,6573,Ixodes scapularis,Female,5,Unengorged,Negative ,Positive,6/27/18,2018,Warren,NJ
49,10003,Ixodes scapularis,Male,1,Unengorged,Negative ,Positive,6/27/18,2018,Sussex,NJ
50,10003,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
51,10003,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
52,10003,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
53,10004,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/27/18,2018,Sussex,NJ
54,9149,Ixodes scapularis,Nymph,1,Unengorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
55,9887,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
56,9198,Ixodes scapularis,Male,1,Unengorged,Negative ,Positive,6/29/18,2018,Sussex,NJ
57,9198,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
58,9848,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
59,9848,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
60,10204,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/29/18,2018,Warren,NJ
61,10204,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/29/18,2018,Warren,NJ
62,10204,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/29/18,2018,Warren,NJ
63,9776,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/29/18,2018,Sussex,NJ
64,9848,Ixodes scapularis,Male,4,Unengorged,Negative ,Positive,6/29/18,2018,Sussex,NJ
65,7900,Ixodes cookei ,Female,1,Semi-engorged,Negative ,Negative ,7/11/18,2018,Sussex,NJ
66,19,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/11/18,2018,Sussex,NJ
67,19,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/11/18,2018,Sussex,NJ
68,7900,Ixodes scapularis,Male,5,Unengorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
69,7900,Ixodes scapularis,Female,3,Unengorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
70,7900,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
71,7900,Ixodes scapularis,Nymph,1,Fully engorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
72,9848,Ixodes scapularis,Nymph,1,Fully engorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
73,9848,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
74,9848,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
75,9848,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Negative ,7/11/18,2018,Warren,NJ
76,8814,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,7/20/18,2018,Warren,NJ
77,8844,Ixodes scapularis,Male,5,Unengorged,Negative ,Positive,7/18/18,2018,Warren,NJ
78,8844,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Negative ,7/18/18,2018,Warren,NJ
79,8844,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Negative ,7/18/18,2018,Warren,NJ
80,8844,Ixodes scapularis,Female,2,Fully engorged,Negative ,Negative ,7/18/18,2018,Warren,NJ
81,8844,Ixodes scapularis,Nymph,3,Fully engorged,Negative ,Negative ,7/18/18,2018,Warren,NJ
82,295,Ixodes scapularis,Male,3,Unengorged,Negative ,Positive,7/18/18,2017,Warren,NJ
83,632,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,7/18/18,2015,Warren,NJ
84,632,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,7/18/18,2015,Warren,NJ
85,631,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/18/18,2015,Warren,NJ
86,631,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/18/18,2015,Warren,NJ
87,631,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,7/18/18,2015,Warren,NJ
88,631,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,7/18/18,2015,Warren,NJ
89,633,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,7/18/18,2015,Hunterdon,NJ
90,633,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,7/18/18,2015,Hunterdon,NJ
91,633,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,7/18/18,2015,Hunterdon,NJ
92,633,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,7/18/18,2015,Hunterdon,NJ
93,630,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,7/18/18,2015,Warren,NJ
94,616,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Hunterdon,NJ
95,616,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Hunterdon,NJ
96,628,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
97,628,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
98,628,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
99,628,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
100,628,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
101,627,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
102,627,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
103,627,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
104,625,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
105,625,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,7/26/18,2015,Warren,NJ
106,625,Ixodes scapularis,Male,3,Unengorged,Negative ,Positive,7/26/18,2015,Warren,NJ
107,624,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
108,624,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
109,623,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
110,623,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
111,623,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,7/26/18,2015,Warren,NJ
112,622,Ixodes scapularis,Female,4,Fully engorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
113,622,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
114,622,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
115,619,Ixodes scapularis,Female,2,Semi-engorged,Negative ,Positive,8/3/18,2015,Hunterdon,NJ
116,619,Ixodes scapularis,Female,3,Fully engorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
117,619,Ixodes scapularis,Male,3,Unengorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
118,618,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,8/3/18,2015,Hunterdon,NJ
119,618,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,8/3/18,2015,Hunterdon,NJ
120,618,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
121,617,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
122,617,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
123,617,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
124,617,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/3/18,2015,Hunterdon,NJ
125,21,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
126,20,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
127,15,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,8/3/18,2015,Warren,NJ
128,15,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/3/18,2015,Warren,NJ
129,41,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/3/18,2015,Sussex,NJ
130,39,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/3/18,2015,Sussex,NJ
131,39,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/3/18,2015,Sussex,NJ
132,35,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
133,34,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
134,34,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
135,31,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
136,31,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
137,30,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
138,30,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
139,28,Ixodes scapularis,Female,3,Fully engorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
140,28,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
141,28,Ixodes scapularis,Male,1,Unengorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
142,22,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
143,22,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
144,18,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
145,18,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
146,13,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
147,13,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
148,12,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,8/21/18,2015,Sussex,NJ
149,11,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/21/18,2015,Sussex,NJ
150,2,Ixodes scapularis,Male,3,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
151,2,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
152,2,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
153,2,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
154,3,Ixodes scapularis,Male,4,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
155,3,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
156,3,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
157,3,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
158,3,Ixodes scapularis,Female,2,Fully engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
159,4,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
160,5,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
161,5,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
162,5,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
163,5,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
164,6,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
165,6,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
166,6,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
167,6,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
168,8,Ixodes scapularis,Female,1,Semi-engorged,Positive,Positive,8/25/18,2016,Sussex,NJ
169,8,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
170,8,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
171,8,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
172,9,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
173,9,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
174,10,Ixodes scapularis,Male,4,Unengorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
175,10,Ixodes scapularis,Female,2,Unengorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
176,10,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
177,10,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
178,11,Ixodes scapularis,Male,5,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
179,11,Ixodes scapularis,Female,5,Unengorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
180,11,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
181,11,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
182,13,Ixodes scapularis,Male,3,Unengorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
183,13,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
184,13,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
185,13,Ixodes scapularis,Female,3,Fully engorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
186,14,Ixodes scapularis,Male,2,Unengorged,Negative ,Negative ,8/25/18,2016,Sussex,NJ
187,14,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
188,15,Ixodes scapularis,Male,1,Unengorged,Positive,Negative ,8/25/18,2016,Sussex,NJ
189,15,Ixodes scapularis,Female,3,Unengorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
190,15,Ixodes scapularis,Female,2,Semi-engorged,Negative ,Positive,8/25/18,2016,Sussex,NJ
191,17,Ixodes scapularis,Male,3,Unengorged,Negative ,Positive,9/5/18,2016,Sussex,NJ
192,17,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,9/5/18,2016,Sussex,NJ
193,20,Ixodes scapularis,Male,7,Unengorged,Negative ,Positive,9/5/18,2016,Sussex,NJ
194,20,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/5/18,2016,Sussex,NJ
195,20,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/5/18,2016,Sussex,NJ
196,20,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/5/18,2016,Sussex,NJ
197,20,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/5/18,2016,Sussex,NJ
198,22,Ixodes scapularis,Male,2,Unengorged,Negative ,Negative ,9/5/18,2016,Sussex,NJ
199,22,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Negative ,9/5/18,2016,Sussex,NJ
200,16,Ixodes scapularis,Male,2,Unengorged,Negative ,Negative ,9/5/18,2016,Warren,NJ
201,16,Ixodes scapularis,Female,2,Unengorged,Positive,Positive,9/5/18,2016,Warren,NJ
202,16,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/5/18,2016,Warren,NJ
203,30,Ixodes scapularis,Male,3,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
204,30,Ixodes scapularis,Female,3,Unengorged,Negative ,Positive,9/8/18,2016,Warren,NJ
205,30,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,9/8/18,2016,Warren,NJ
206,154,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,9/8/18,2016,Warren,NJ
207,162,Ixodes scapularis,Male,2,Unengorged,Negative ,Positive,9/8/18,2016,Warren,NJ
208,162,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,9/8/18,2016,Warren,NJ
209,167,Ixodes scapularis,Male,2,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
210,167,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
211,167,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Positive,9/8/18,2016,Warren,NJ
212,169,Ixodes scapularis,Male,1,Unengorged,Positive,Negative ,9/8/18,2016,Warren,NJ
213,169,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
214,169,Ixodes scapularis,Female,2,Fully engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
215,8819,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
216,8819,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
217,8819,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
218,8819,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
219,9209,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
220,9553,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
221,9553,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
222,9553,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,9/8/18,2016,Warren,NJ
223,9553,Ixodes scapularis,Female,1,Fully engorged,Negative ,Positive,9/8/18,2016,Warren,NJ
224,28,Ixodes scapularis,Male,3,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
225,28,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
226,28,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
227,29,Ixodes scapularis,Male,3,Unengorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
228,29,Ixodes scapularis,Female,3,Unengorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
229,31,Ixodes scapularis,Male,1,Unengorged,Positive,Positive,9/8/18,2016,Sussex,NJ
230,31,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
231,31,Ixodes scapularis,Female,4,Semi-engorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
232,144,Ixodes scapularis,Male,3,Unengorged,Positive,Positive,9/8/18,2016,Sussex,NJ
233,144,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
234,145,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
235,145,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
236,145,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
237,145,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
238,145,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
239,147,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
240,147,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
241,148,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
242,148,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,9/8/18,2016,Sussex,NJ
243,148,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
244,149,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
245,149,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
246,149,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,9/8/18,2016,Sussex,NJ
247,249,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,9/9/18,2016,Sussex,NJ
248,379,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,9/9/18,2016,Sussex,NJ
249,379,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,9/9/18,2016,Sussex,NJ
250,91,Ixodes scapularis,Male,4,Unengorged,Negative ,Negative ,9/9/18,2017,Warren,NJ
251,91,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,9/9/18,2017,Warren,NJ
252,91,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/9/18,2017,Warren,NJ
253,91,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,9/9/18,2017,Warren,NJ
254,91,Ixodes scapularis,Female,3,Semi-engorged,Negative ,Negative ,9/9/18,2017,Warren,NJ
255,105,Ixodes scapularis,Male,2,Unengorged,Negative ,Negative ,9/9/18,2017,Warren,NJ
256,105,Ixodes scapularis,Female,2,Semi-engorged,Negative ,Positive,9/9/18,2017,Warren,NJ
257,105,Ixodes scapularis,Female,1,fully engorged ,Negative ,Negative ,9/9/18,2017,Warren,NJ
258,105,Ixodes cookei ,Female,1,Semi-engorged,Negative ,Negative ,9/9/18,2017,Warren,NJ
